
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
C4:62:EA:7B:37:97, 2018-10-31 17:48:58, 2018-10-31 17:49:08, 11,  54, WPA2 OPN, CCMP,PSK, -83,        4,        1,   0.  0.  0.  0,   9, AndroidAP, 
C8:D7:79:BB:24:85, 2018-10-31 17:48:58, 2018-10-31 17:49:03,  6,  54, WPA2, CCMP,PSK, -83,        3,        0,   0.  0.  0.  0,   5, 3#wtf, 
FE:EC:DA:38:DF:10, 2018-10-31 16:52:49, 2018-10-31 17:49:08,  6,  54, WPA2, CCMP,PSK, -92,      279,        0,   0.  0.  0.  0,   0, , 
D2:F8:8C:45:10:4B, 2018-10-31 17:48:02, 2018-10-31 17:48:49, 10,  54, WPA2, CCMP,PSK, -86,        7,        0,   0.  0.  0.  0,  11, Moto C Plus, 
2C:6F:C9:54:E0:CD, 2018-10-31 17:37:42, 2018-10-31 17:48:53,  6,  54, WPA2, CCMP,PSK, -88,       71,       22,   0.  0.  0.  0,  26, Jgn malu nanya passwordnya, 
8C:18:D9:E7:6A:F6, 2018-10-31 17:48:07, 2018-10-31 17:48:12,  6,  54, OPN, ,   , -91,        4,        0,   0.  0.  0.  0,  14, Toyota RSE 806, 
FC:DD:55:49:87:1C, 2018-10-31 17:47:37, 2018-10-31 17:47:47,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C8:D7:79:5F:D3:6C, 2018-10-31 17:47:02, 2018-10-31 17:47:17,  6,  54, OPN, ,   , -87,       10,        0,   0.  0.  0.  0,  29, BQtZ-YmFwYWsgcGVyc2lkZW7wn5iY, 
FC:DD:55:65:1A:E1, 2018-10-31 17:44:57, 2018-10-31 17:45:06,  5,  54, WPA2, CCMP TKIP,PSK, -86,        4,        0,   0.  0.  0.  0,  10, Donasasuke, 
E6:C7:02:1A:11:FA, 2018-10-31 17:00:34, 2018-10-31 17:44:37, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
74:23:44:92:6C:5C, 2018-10-31 17:43:57, 2018-10-31 17:44:14,  6,  54, WPA2, CCMP,PSK, -83,       12,        0,   0.  0.  0.  0,  11, iyusruslani, 
7C:11:CB:8A:86:CE, 2018-10-31 17:43:41, 2018-10-31 17:43:59,  6,  54, WPA2, CCMP,PSK, -88,        4,        0,   0.  0.  0.  0,  18, HUAWEI_P9lite_2319, 
3A:01:78:8A:20:49, 2018-10-31 16:55:53, 2018-10-31 17:43:47,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:40:A7:3E:D9:F1, 2018-10-31 17:43:37, 2018-10-31 17:43:44,  1,  54, WPA2, CCMP,PSK, -90,        1,        0,   0.  0.  0.  0,   3, XYZ, 
32:07:4D:27:18:E3, 2018-10-31 17:43:18, 2018-10-31 17:43:22,  1,  54, WPA2, CCMP,PSK, -79,        1,        0,   0.  0.  0.  0,   7, Ucha318, 
FC:DD:55:27:86:5E, 2018-10-31 17:43:04, 2018-10-31 17:43:19,  3,  54, WPA2, CCMP TKIP,PSK, -90,        2,        0,   0.  0.  0.  0,  19, Q JUGA PENGENBANGET, 
E4:7D:EB:05:A2:A0, 2018-10-31 17:42:57, 2018-10-31 17:43:06,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -78,        6,        0,   0.  0.  0.  0,   7, yadanov, 
FC:DD:55:63:BF:3C, 2018-10-31 17:43:02, 2018-10-31 17:43:03,  5,  54, WPA2, CCMP TKIP,PSK, -82,        2,        0,   0.  0.  0.  0,   9, XLGO-BF3C, 
B4:2A:0E:71:46:B9, 2018-10-31 16:54:18, 2018-10-31 17:43:03,  1,  54, WPA2, CCMP,PSK, -92,       64,        0,   0.  0.  0.  0,  11, WarungAdmin, 
90:C7:D8:A7:F8:2F, 2018-10-31 17:42:28, 2018-10-31 17:42:37,  4,  54, WPA2, CCMP TKIP,PSK, -87,        1,        0,   0.  0.  0.  0,  17, Andromax-M3Z-F82F, 
44:C8:74:91:52:91, 2018-10-31 17:42:21, 2018-10-31 17:42:26, 11,  54, WPA2, CCMP,PSK, -85,        3,        0,   0.  0.  0.  0,   9, I PHONE X, 
